,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool
0,To all my twitter peeps -here is a thread from one of #Canada's tri-council funding agencies using childish memes &amp;… https://t.co/27ul2Bh6kQ,2022-03-30 13:32:37,1509161679514439680,ProudConthe13th,,,0,0,en,Twitter Web App,,,True
1,"Rethinking #SDoH &amp; its priorities in the post-truth/alternative facts world #covid19 #climatecrisis era
WHO Underst… https://t.co/9VgrFg1ebW",2022-03-29 20:05:12,1508898084696346624,geopsychiatry,,,0,0,en,Twitter Web App,,,False
2,@dranniehickox @JCallenDavies @eolasinntinn @RoseAnnieFlo @jamesldowns @RuthAnnHarpur @Eduard_Margarit… https://t.co/a2ow5MfTTO,2022-03-28 18:40:29,1508514378408148994,GDH68601756,,,0,0,en,Twitter for iPhone,1508418483733860363,3141788489,False
3,"""The COVID-19 come from Fort Detrick and they've been trying to cover up the truth. That's terrible!
#covid… https://t.co/bjDPIbsGuJ",2022-03-28 16:07:47,1508475950282932227,Yajaira29892666,,,0,0,en,Twitter Web App,,,False
